element	line	kV	intensity	limit
Sm	Kα2	39.523	0.52	0.2
Sm	Kα1	40.118	1.0	0.2
Pr	Kβ1	40.748	0.2	0.2
Eu	Kα2	40.902	0.52	0.2
Eu	Kα1	41.542	1.0	0.2
Nd	Kβ1	42.272	0.2	0.2
Gd	Kα2	42.309	0.52	0.2
Gd	Kα1	42.996	1.0	0.2
Tb	Kα2	43.744	0.52	0.2
Pm	Kβ1	43.825	0.2	0.2
Tb	Kα1	44.481	1.0	0.2
Dy	Kα2	45.208	0.52	0.2
Sm	Kβ1	45.413	0.2	0.2
Dy	Kα1	45.999	1.0	0.2
Ho	Kα2	46.699	0.52	0.2
Eu	Kβ1	47.036	0.2	0.2
Ho	Kα1	47.547	1.0	0.2
Er	Kα2	48.221	0.52	0.2
Gd	Kβ1	48.696	0.2	0.2
Er	Kα1	49.128	1.0	0.2
Tm	Kα2	49.773	0.52	0.2
